id_tipo_bem,descricao
21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
63,Dinheiro em espécie - moeda nacional
12,Casa
2,Prédio comercial
14,Terra nua
13,Terreno
61,Depósito bancário em conta corrente no País
41,Caderneta de poupança
97,VGBL - Vida Gerador de Benefício Livre
19,Outros bens imóveis
49,Outras aplicações e Investimentos
45,"Aplicação de renda fixa (CDB, RDB e outros)"
29,Outros bens móveis
1,Prédio residencial
32,Quotas ou quinhões de capital
72,Fundo de Longo Prazo e Fundo de Investimentos em Direitos Creditórios (FIDC)
79,Outros fundos
59,Outros créditos e poupança vinculados
99,OUTROS BENS E DIREITOS
11,Apartamento
39,Outras participações societárias
15,Sala ou conjunto
71,Fundo de Curto Prazo
51,Crédito decorrente de empréstimo
74,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado"
95,Consórcio não contemplado
31,Ações (inclusive as provenientes de linha telefônica)
3,Galpão
64,Dinheiro em espécie - moeda estrangeira
62,Depósito bancário em conta corrente no exterior
23,Embarcação
52,Crédito decorrente de alienação
16,Construção
73,Fundo de Investimento Imobiliário
25,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc."
24,Bem relacionado com o exercício da atividade autônoma
18,Loja
17,Benfeitorias
46,"Ouro, ativo financeiro"
92,Título de clube e assemelhado
69,Outros depósitos à vista e numerário
26,Linha telefônica
96,Leasing
53,Plano PAIT e caderneta de pecúlio
54,Poupança para construção ou aquisição de bem imóvel
94,Direito de lavra e assemelhado
22,Aeronave
47,"Mercado futuros, de opções e a termo"
93,"Direito de autor, de inventor e patente"
91,Licença e concessões especiais
